0 	-192.087 	0 	0 	0 	-0.000291137 	-0.0575053 	0 	0.000237225 	0 	5.39123e-05
5.37817e-05 	-192.087 	0.178893 	-0.000657868 	0 	-0.000490113 	-0.0452904 	0 	0.000490077 	0 	3.5437e-08
0.000109704 	-192.087 	0.318774 	-0.00174218 	0 	-0.000548426 	-0.0327862 	0 	0.000541517 	0 	6.90985e-06
0.000167852 	-192.086 	0.416521 	-0.00260157 	0 	-0.000119411 	-0.0197915 	0 	0.000121686 	0 	-2.27474e-06
0.000228314 	-192.086 	0.46584 	-0.00217406 	0 	0.000981968 	-0.00614928 	0 	-0.000977444 	0 	-4.52372e-06
0.000291182 	-192.085 	0.46171 	0.00104237 	0 	0.00313298 	0.00854577 	0 	-0.00314359 	0 	1.06146e-05
0.000356552 	-192.083 	0.407358 	0.00850363 	0 	0.00705932 	0.0252638 	0 	-0.00709313 	0 	3.38137e-05
0.000424524 	-192.079 	0.316018 	0.0210648 	0 	0.0136712 	0.0445377 	0 	-0.013713 	0 	4.18692e-05
0.000495201 	-192.073 	0.201988 	0.0391163 	0 	0.0235516 	0.0655429 	0 	-0.0235742 	0 	2.25472e-05
0.000568691 	-192.065 	0.0734638 	0.063047 	0 	0.0367083 	0.0870406 	0 	-0.0367044 	0 	-3.86063e-06
0.000645106 	-192.054 	-0.0663701 	0.0933051 	0 	0.0527534 	0.108197 	0 	-0.0527401 	0 	-1.33029e-05
0.000724562 	-192.042 	-0.216195 	0.130234 	0 	0.0711752 	0.128447 	0 	-0.0711682 	0 	-6.9868e-06
0.00080718 	-192.029 	-0.374771 	0.173965 	0 	0.0915203 	0.147338 	0 	-0.0915184 	0 	-1.90694e-06
0.000893086 	-192.016 	-0.540385 	0.224395 	0 	0.113318 	0.16433 	0 	-0.113314 	0 	-3.94512e-06
0.000982412 	-192.002 	-0.710876 	0.281216 	0 	0.136067 	0.178853 	0 	-0.136063 	0 	-4.454e-06
0.00107529 	-191.99 	-0.883728 	0.343913 	0 	0.159328 	0.190455 	0 	-0.159323 	0 	-5.20964e-06
0.00117187 	-191.978 	-1.05616 	0.411754 	0 	0.18267 	0.198767 	0 	-0.182656 	0 	-1.36121e-05
0.00127229 	-191.968 	-1.22535 	0.483845 	0 	0.20554 	0.203423 	0 	-0.20552 	0 	-2.07202e-05
0.00137671 	-191.961 	-1.38859 	0.559187 	0 	0.227427 	0.204189 	0 	-0.227407 	0 	-1.99376e-05
0.00148528 	-191.957 	-1.54335 	0.636693 	0 	0.247967 	0.201015 	0 	-0.247944 	0 	-2.33586e-05
