0 	-207.826 	0 	0 	0
0.000571357 	-207.712 	-4.2633 	0.175382 	0
0.00114271 	-207.566 	-4.30245 	0.33222 	0
0.00171407 	-207.493 	-4.1081 	0.468128 	0
0.00228543 	-207.48 	-3.83758 	0.587721 	0
0.00285678 	-207.511 	-3.5277 	0.693315 	0
0.00342814 	-207.574 	-3.19083 	0.785326 	0
0.0039995 	-207.657 	-2.83317 	0.864136 	0
0.00457085 	-207.752 	-2.45901 	0.929627 	0
0.00514221 	-207.854 	-2.06741 	0.980814 	0
0.00571357 	-207.956 	-1.66113 	1.01701 	0
0.00628492 	-208.053 	-1.23703 	1.03667 	0
0.00685628 	-208.138 	-0.789318 	1.03739 	0
0.00742764 	-208.196 	-0.308898 	1.01598 	0
0.00799899 	-208.193 	0.248784 	0.963279 	0
0.00857035 	-208.106 	0.920966 	0.875459 	0
0.00914171 	-207.892 	1.80823 	0.737022 	0
0.00971307 	-207.551 	2.9912 	0.549217 	0
0.0102844 	-207.079 	4.66851 	0.309766 	0
0.0108558 	-206.525 	6.92382 	0.0390328 	0
0.0114271 	-205.923 	9.75065 	-0.233127 	0
0.0119985 	-205.281 	13.1428 	-0.48157 	0
0.0125698 	-204.698 	16.3359 	-0.653285 	0
0.0131412 	-203.725 	21.531 	-0.801751 	0
0.0137126 	-202.863 	26.2339 	-0.826999 	0
0.0142839 	-202.137 	29.9005 	-0.830606 	0
0.0148553 	-201.463 	32.454 	-0.870272 	0
0.0154266 	-200.721 	34.6276 	-0.911172 	0
0.015998 	-199.922 	35.9944 	-0.941851 	0
0.0165693 	-199.098 	36.794 	-0.964709 	0
0.0171407 	-198.259 	37.4202 	-0.983602 	0
0.0177121 	-197.406 	37.9809 	-1.00028 	0
0.0182834 	-196.544 	38.4913 	-1.0152 	0
0.0188548 	-195.677 	38.9514 	-1.02825 	0
0.0194261 	-194.798 	39.3716 	-1.03973 	0
0.0199975 	-193.92 	39.7748 	-1.05057 	0
0.0205688 	-193.033 	40.1325 	-1.05946 	0
0.0211402 	-192.147 	40.4847 	-1.06811 	0
0.0217116 	-191.259 	40.8006 	-1.07522 	0
0.0222829 	-190.374 	41.1168 	-1.08237 	0
0.0228543 	-189.484 	41.3981 	-1.08776 	0
0.0234256 	-188.601 	41.6774 	-1.09315 	0
0.023997 	-187.714 	41.9431 	-1.09779 	0
0.0245683 	-186.837 	42.1901 	-1.10167 	0
0.0251397 	-185.96 	42.4371 	-1.10554 	0
0.0257111 	-185.083 	42.6689 	-1.10848 	0
0.0262824 	-184.218 	42.8876 	-1.11085 	0
0.0268538 	-183.352 	43.1062 	-1.11322 	0
0.0274251 	-182.487 	43.3186 	-1.11523 	0
0.0279965 	-181.637 	43.5077 	-1.11625 	0
0.0285678 	-180.79 	43.697 	-1.11737 	0
0.0291392 	-179.942 	43.8864 	-1.11848 	0
0.0297106 	-179.1 	44.0514 	-1.11847 	0
0.0302819 	-178.275 	44.1826 	-1.11726 	0
0.0308533 	-177.451 	44.3138 	-1.11609 	0
0.0314246 	-176.628 	44.4451 	-1.11491 	0
0.031996 	-175.806 	44.5707 	-1.11354 	0
0.0325673 	-175.021 	44.5991 	-1.1089 	0
0.0331387 	-174.241 	44.628 	-1.1045 	0
0.0337101 	-173.46 	44.6569 	-1.10011 	0
0.0342814 	-172.68 	44.6858 	-1.09572 	0
0.0348528 	-171.903 	44.7116 	-1.0912 	0
0.0354241 	-171.185 	44.6898 	-1.08492 	0
0.0359955 	-170.471 	44.6682 	-1.07892 	0
0.0365668 	-169.757 	44.6465 	-1.07292 	0
0.0371382 	-169.043 	44.6249 	-1.06692 	0
0.0377095 	-168.328 	44.6033 	-1.06092 	0
0.0382809 	-167.635 	44.5838 	-1.05466 	0
0.0388523 	-166.987 	44.5685 	-1.04816 	0
0.0394236 	-166.341 	44.5533 	-1.04183 	0
0.039995 	-165.696 	44.5381 	-1.0355 	0
0.0405663 	-165.05 	44.5229 	-1.02917 	0
0.0411377 	-164.404 	44.5077 	-1.02283 	0
0.041709 	-163.758 	44.4925 	-1.0165 	0
0.0422804 	-163.164 	44.4787 	-1.00963 	0
0.0428518 	-162.588 	44.4653 	-1.00295 	0
0.0434231 	-162.013 	44.4519 	-0.996308 	0
0.0439945 	-161.437 	44.4386 	-0.989661 	0
0.0445658 	-160.862 	44.4252 	-0.983014 	0
0.0451372 	-160.286 	44.4119 	-0.976367 	0
0.0457085 	-159.711 	44.3985 	-0.96972 	0
0.0462799 	-159.153 	44.3856 	-0.962924 	0
0.0468513 	-158.647 	44.3741 	-0.955766 	0
0.0474226 	-158.143 	44.3627 	-0.948854 	0
0.047994 	-157.64 	44.3513 	-0.941941 	0
0.0485653 	-157.136 	44.3399 	-0.935029 	0
0.0491367 	-156.632 	44.3284 	-0.928117 	0
0.049708 	-156.129 	44.317 	-0.921204 	0
0.0502794 	-155.625 	44.3056 	-0.914292 	0
0.0508508 	-155.121 	44.2942 	-0.90738 	0
0.0514221 	-154.661 	44.2839 	-0.900182 	0
0.0519935 	-154.228 	44.2744 	-0.89296 	0
0.0525648 	-153.796 	44.2649 	-0.885883 	0
0.0531362 	-153.364 	44.2554 	-0.878805 	0
0.0537075 	-152.932 	44.2459 	-0.871727 	0
0.0542789 	-152.499 	44.2364 	-0.86465 	0
0.0548503 	-152.067 	44.2268 	-0.857572 	0
0.0554216 	-151.635 	44.2173 	-0.850494 	0
0.055993 	-151.203 	44.2078 	-0.843417 	0
0.0565643 	-150.771 	44.1983 	-0.836339 	0
0.0571357 	-150.395 	44.1903 	-0.829133 	0
0.057707 	-150.041 	44.1828 	-0.821993 	0
0.0582784 	-149.687 	44.1754 	-0.814986 	0
0.0588497 	-149.334 	44.1679 	-0.807979 	0
0.0594211 	-148.98 	44.1605 	-0.800972 	0
0.0599925 	-148.626 	44.153 	-0.793965 	0
0.0605638 	-148.273 	44.1456 	-0.786958 	0
0.0611352 	-147.919 	44.1381 	-0.779951 	0
0.0617065 	-147.565 	44.1307 	-0.772944 	0
0.0622779 	-147.212 	44.1232 	-0.765937 	0
0.0628492 	-146.858 	44.1158 	-0.75893 	0
0.0634206 	-146.528 	44.109 	-0.751828 	0
0.063992 	-146.235 	44.1032 	-0.744601 	0
0.0645633 	-145.941 	44.0974 	-0.737561 	0
0.0651347 	-145.648 	44.0916 	-0.730521 	0
0.065706 	-145.355 	44.0859 	-0.723481 	0
0.0662774 	-145.062 	44.0801 	-0.716441 	0
0.0668487 	-144.769 	44.0743 	-0.709401 	0
0.0674201 	-144.476 	44.0685 	-0.702361 	0
0.0679915 	-144.183 	44.0628 	-0.695321 	0
0.0685628 	-143.89 	44.057 	-0.688281 	0
0.0691342 	-143.596 	44.0512 	-0.681241 	0
0.0697055 	-143.305 	44.0455 	-0.674184 	0
0.0702769 	-143.056 	44.0411 	-0.66677 	0
0.0708482 	-142.806 	44.0367 	-0.659537 	0
0.0714196 	-142.557 	44.0322 	-0.652315 	0
0.071991 	-142.307 	44.0278 	-0.645093 	0
0.0725623 	-142.057 	44.0234 	-0.637871 	0
0.0731337 	-141.808 	44.019 	-0.630649 	0
0.073705 	-141.558 	44.0146 	-0.623427 	0
0.0742764 	-141.309 	44.0101 	-0.616205 	0
0.0748477 	-141.059 	44.0057 	-0.608983 	0
0.0754191 	-140.816 	44.0015 	-0.601737 	0
0.0759905 	-140.606 	43.9984 	-0.594398 	0
0.0765618 	-140.397 	43.9952 	-0.587198 	0
0.0771332 	-140.187 	43.9921 	-0.579998 	0
0.0777045 	-139.977 	43.989 	-0.572799 	0
0.0782759 	-139.767 	43.9859 	-0.565599 	0
0.0788472 	-139.558 	43.9827 	-0.558399 	0
0.0794186 	-139.348 	43.9796 	-0.551199 	0
0.0799899 	-139.138 	43.9765 	-0.543999 	0
0.0805613 	-138.946 	43.974 	-0.536726 	0
0.0811327 	-138.768 	43.972 	-0.529497 	0
0.081704 	-138.59 	43.9701 	-0.522317 	0
0.0822754 	-138.412 	43.9682 	-0.515137 	0
0.0828467 	-138.234 	43.9662 	-0.507957 	0
0.0834181 	-138.056 	43.9643 	-0.500778 	0
0.0839894 	-137.878 	43.9623 	-0.493598 	0
0.0845608 	-137.701 	43.9604 	-0.486418 	0
0.0851322 	-137.549 	43.9596 	-0.479155 	0
0.0857035 	-137.396 	43.9589 	-0.472001 	0
0.0862749 	-137.244 	43.9581 	-0.464846 	0
0.0868462 	-137.092 	43.9573 	-0.457692 	0
0.0874176 	-136.94 	43.9565 	-0.450538 	0
0.0879889 	-136.788 	43.9557 	-0.443384 	0
0.0885603 	-136.645 	43.9555 	-0.436176 	0
0.0891317 	-136.514 	43.9559 	-0.429014 	0
0.089703 	-136.383 	43.9564 	-0.42188 	0
0.0902744 	-136.252 	43.9568 	-0.414746 	0
0.0908457 	-136.121 	43.9572 	-0.407612 	0
0.0914171 	-135.99 	43.9576 	-0.400478 	0
0.0919884 	-135.872 	43.959 	-0.393283 	0
0.0925598 	-135.759 	43.9608 	-0.38617 	0
0.0931312 	-135.646 	43.9625 	-0.379057 	0
0.0937025 	-135.532 	43.9643 	-0.371944 	0
0.0942739 	-135.419 	43.966 	-0.364832 	0
0.0948452 	-135.317 	43.9689 	-0.357667 	0
0.0954166 	-135.218 	43.9721 	-0.350573 	0
0.0959879 	-135.12 	43.9754 	-0.343478 	0
0.0965593 	-135.021 	43.9786 	-0.336383 	0
0.0971307 	-134.928 	43.9825 	-0.329248 	0
0.097702 	-134.842 	43.9875 	-0.322163 	0
0.0982734 	-134.756 	43.9925 	-0.315087 	0
0.0988447 	-134.671 	43.9975 	-0.30801 	0
0.0994161 	-134.591 	44.0036 	-0.300897 	0
0.0999874 	-134.516 	44.0107 	-0.293838 	0
0.100559 	-134.441 	44.0177 	-0.28678 	0
0.10113 	-134.369 	44.0253 	-0.279694 	0
0.101702 	-134.303 	44.0346 	-0.272641 	0
0.102273 	-134.237 	44.0439 	-0.265598 	0
0.102844 	-134.174 	44.0542 	-0.258528 	0
0.103416 	-134.116 	44.0661 	-0.251508 	0
0.103987 	-134.059 	44.0781 	-0.244487 	0
0.104558 	-134.007 	44.0924 	-0.237441 	0
0.10513 	-133.956 	44.1073 	-0.230425 	0
0.105701 	-133.908 	44.1241 	-0.223409 	0
0.106272 	-133.863 	44.142 	-0.216434 	0
0.106844 	-133.822 	44.1623 	-0.20942 	0
0.107415 	-133.782 	44.1836 	-0.20242 	0
