# y+ ()       
# Time        	patch         	min           	max           	average       
1700          	lowerWallStartup	3.517166e-01	8.523422e-01	6.136210e-01
1700          	upperWallStartup	5.444090e-02	1.539448e-01	1.274970e-01
1700          	upperWall	6.531536e-02	7.416937e-01	3.372487e-01
1700          	verticalWall	9.893642e-02	3.428013e+00	1.586727e+00
1700          	lowerWall	1.410260e-02	1.023466e+00	5.745967e-01
1800          	lowerWallStartup	3.516992e-01	8.547564e-01	6.134946e-01
1800          	upperWallStartup	5.441203e-02	1.539470e-01	1.272947e-01
1800          	upperWall	6.501853e-02	7.438747e-01	3.379667e-01
1800          	verticalWall	8.189318e-03	1.694562e+01	1.728093e+00
1800          	lowerWall	1.692221e-02	2.291199e+00	5.849870e-01
1900          	lowerWallStartup	3.516981e-01	8.553999e-01	6.135222e-01
1900          	upperWallStartup	5.439663e-02	1.539468e-01	1.270788e-01
1900          	upperWall	6.481912e-02	7.463686e-01	3.384685e-01
1900          	verticalWall	8.125092e-02	3.437647e+00	1.596379e+00
1900          	lowerWall	3.132480e-02	8.046734e-01	5.741200e-01
2000          	lowerWallStartup	3.517122e-01	8.550449e-01	6.143389e-01
2000          	upperWallStartup	5.435285e-02	1.539471e-01	1.269506e-01
2000          	upperWall	6.463992e-02	7.490176e-01	3.387317e-01
2000          	verticalWall	6.867269e-02	5.630479e+00	1.651045e+00
2000          	lowerWall	3.111672e-02	8.033794e-01	5.763500e-01
